"","name","religion","geometry"
"318","St Augustine's, Queen's Gate","protestant",c(-0.178008086601903, 51.4933637128896)
"319","Holy Trinity","protestant",c(-0.364240876530595, 51.4687993421528)
"320","St Mary Magdalene","protestant",c(-0.107884787612472, 51.5483578955345)
"321","The Parish Church of Saint Stephen South Dulwich","protestant",c(-0.0786144574245982, 51.4322167106916)
"322","Christchurch","protestant",c(-0.292487656978883, 51.3898276172753)
"323","Parish of St. James","protestant",c(-0.254724997017783, 51.3952638621009)
"324","All Souls Church","protestant",c(-0.143041406086562, 51.5181544623739)
"325","Saint Mary Magdalen","protestant",c(-0.0539226376367539, 51.4708698112978)
"326","St James's Church","protestant",c(-0.0440168762269403, 51.3998512138376)
"327","St. John the Baptist, Leytonstone","protestant",c(0.0109316317441469, 51.5687558446513)
"328","St Mary of Eton","protestant",c(-0.0305540783096269, 51.5453621658776)
"329","Saint Mary's","protestant",c(-0.337306637140657, 51.5741818038058)
"330","St. Andrew's","protestant",c(-0.115252884082421, 51.5410759911847)
"331","Holy Trinity Clapham","protestant",c(-0.142046985477724, 51.4624963445651)
"332","Saint George and All Saints","protestant",c(-0.126571952413465, 51.556882380527)
"333","Saint Silas","protestant",c(-0.112023633484096, 51.533423087903)
"334","Christ Church Highbury","protestant",c(-0.0987232895601953, 51.5525215288557)
"335","Saint Andrew","protestant",c(-0.106609051654705, 51.5172688983253)
"336","St Michael and All Angels","protestant",c(-0.0665495629774641, 51.5625194003855)
"337","St. Stephen's, Wandsworth","protestant",c(-0.206317612191278, 51.4585142927125)
"338","St Stephen's Canonbury","protestant",c(-0.0972398517527236, 51.5409475154156)
"339","St Martin-in-the-Fields","protestant",c(-0.12666525817609, 51.5088328221209)
"340","St Mark's","protestant",c(-0.115744495577335, 51.565124188314)
"341","St David","protestant",c(-0.113612735010583, 51.5476631310906)
"342","St John the Evangelist","protestant",c(-0.0549046051717124, 51.4166357317064)
"343","St. Sepulchre's Church","protestant",c(-0.102232453853407, 51.5166765738168)
"344","St Bartholomew-The Great","protestant",c(-0.0994662852354799, 51.5189228320491)
"345","Church in the Corner","protestant",c(-0.110731393450339, 51.5359083471379)
"346","St John the Baptist Church","protestant",c(-0.312740695517337, 51.4118721963414)
"347","Saint Mark's Kennington","protestant",c(-0.111861010808983, 51.4814069257113)
"348","St Katherine's Church","protestant",c(-0.242937439055067, 51.5146026413942)
"349","St. George Beckenham Parish Church","protestant",c(-0.0246472267669868, 51.4091733770049)
"350","Saint John's","protestant",c(-0.0721989548479941, 51.4624001909109)
"351","St James Merton","protestant",c(-0.212593964669539, 51.4037212187557)
