"","name","type","geometry"
"299","Theatre: Freilichtbühne","theatre",c(13.2698924, 52.47268)
"300","Theatre: Sternberg - Theater in der Spielbank","theatre",c(13.3720688, 52.507905)
"301","Theatre: Puppentheater Berlin","theatre",c(13.302854, 52.5167042)
"302","Theatre: Puppentheater Felicio","theatre",c(13.4120357, 52.5505948)
"303","Theatre: Zaubertheater Igor Jedlin","theatre",c(13.3017312, 52.500295)
"304","Theatre: Spiegelsalon","theatre",c(13.2939896, 52.5039194)
"305","Theatre: Ida Nowhere","theatre",c(13.4430391, 52.4782137)
"306","Theatre: Wintergarten Varieté","theatre",c(13.364582, 52.5021802)
"307","Theatre: Pfefferberg Theater","theatre",c(13.411322, 52.531674)
"308","Theatre: Fliegendes Theater","theatre",c(13.4222385, 52.4897927)
"309","Theatre: Kaspertheater Rixdorf","theatre",c(13.4490623, 52.4737355)
"310","Theatre: Kreativhaus e.V.","theatre",c(13.4094134, 52.5131377)
"311","Theatre: Zebrano-Theater","theatre",c(13.4667402, 52.5057161)
"312","Theatre: Die Etage","theatre",c(13.4112804, 52.5017766)
"313","Theatre: Ehemaliges Stummfilmkino Delphi","theatre",c(13.4311632, 52.5519035)
"314","Theatre: Theater im Bergmannkiez","theatre",c(13.3933683, 52.4897764)
"315","Theatre: Galli Theater Berlin","theatre",c(13.3943591, 52.5258054)
"316","Theatre: Pierre Boulez Saal","theatre",c(13.3963671, 52.5154359)
"317","Theatre: Russische Bühne","theatre",c(13.3499315, 52.502379)
"318","Theatre: Theater BOKA","theatre",c(13.3965864, 52.5662041)
"319","Theatre: Zirkus Zack","theatre",c(13.4540503, 52.5076794)
"320","Theatre: Jaro Theater","theatre",c(13.307745, 52.4716475)
"321","Theatre: Piano Salon Christophori","theatre",c(13.3739474, 52.5515969)
"322","Theatre: Haus der Sinne","theatre",c(13.4040123, 52.5490912)
"323","Theatre: Theaterdiscounter","theatre",c(13.4118819, 52.5175797)
"324","Theatre: Zirkus Mond","theatre",c(13.4326655, 52.5422394)
"325","Theatre: Verti Music Hall","theatre",c(13.4431471, 52.5049039)
"326","Theatre: Freiraum - Veranstaltungssaal","theatre",c(13.325568, 52.5100723)
